  3.542	  1.977	   -1
  3.019	  2.556	   -1
  7.552	 -1.580	    1
  2.115	 -0.004	   -1
  8.127	  1.274	    1
  7.109	 -0.987	    1
  8.611	  2.047	    1
  2.326	  0.265	   -1
  3.634	  1.731	   -1
  0.341	 -0.895	   -1
  3.126	  0.293	   -1
  2.123	 -0.784	   -1
  0.888	 -2.798	   -1
  7.140	 -2.330	    1
  1.696	 -1.212	   -1
  8.117	  0.623	    1
  8.497	 -0.267	    1
  4.658	  3.507	   -1
  8.197	  1.545	    1
  1.208	  0.213	   -1
  1.928	 -0.322	   -1
  2.176	 -0.015	   -1
  7.887	  0.462	    1
  3.223	 -0.552	   -1
  3.629	  2.191	   -1
  7.408	 -0.122	    1
  7.286	  0.251	    1
  2.301	 -0.534	   -1
 -0.233	 -0.548	   -1
  3.457	 -0.082	   -1
  3.024	 -0.057	   -1
  8.015	  0.885	    1
  8.992	  0.923	    1
  7.917	 -1.782	    1
  7.617	 -0.218	    1
  2.451	  0.745	   -1
  7.270	 -2.508	    1
  1.750	 -0.962	   -1
  1.803	 -0.176	   -1
  8.804	  3.044	    1
  1.231	 -0.569	   -1
  2.075	  1.411	   -1
 -0.743	 -1.736	   -1
  3.537	  3.965	   -1
  8.410	  0.026	    1
  7.383	 -0.479	    1
  6.961	 -0.245	    1
  8.234	  0.702	    1
  8.169	 -0.904	    1
  1.534	 -0.622	   -1
  9.230	  2.066	    1
  7.886	  0.192	    1
  2.894	 -1.643	   -1
  1.870	 -1.040	   -1
  5.287	 -2.358	    1
  6.081	  0.419	    1
  2.544	  1.714	   -1
  6.016	 -3.754	    1
  0.926	 -0.564	   -1
  0.870	 -0.110	   -1
  2.369	  1.376	   -1
  1.364	 -0.254	   -1
  7.279	 -0.190	    1
  1.896	  0.515	   -1
  8.102	 -0.604	    1
  2.530	  0.663	   -1
  1.964	 -0.365	   -1
  8.132	  0.786	    1
  8.246	  0.372	    1
  6.544	  0.433	    1
 -0.237	 -5.767	   -1
  8.113	  0.296	    1
  9.803	  1.495	    1
  1.497	 -0.553	   -1
  1.336	 -1.633	   -1
  9.206	 -0.586	    1
  1.966	 -1.840	   -1
  8.398	  1.585	    1
  7.240	 -1.764	    1
  7.556	  0.241	    1
  9.016	  0.345	    1
  8.266	 -0.231	    1
  8.546	  2.789	    1
  9.296	  1.346	    1
  2.404	  0.570	   -1
  2.038	  0.022	   -1
  1.728	 -0.453	   -1
  1.979	 -0.051	   -1
  8.092	 -1.372	    1
  1.668	  0.239	   -1
  9.854	  1.365	    1
  7.921	 -1.328	    1
  8.501	  1.492	    1
  1.340	 -0.291	   -1
  3.108	  0.758	   -1
  2.610	  0.903	   -1
  3.264	  1.368	   -1
  2.912	 -0.202	   -1
  1.732	  0.589	   -1
  2.387	  1.573	   -1
